BRbr,#B,#R,#b,#r,#minAction,#maxAction,3-move,5-move,7-move,9-move,11-move,13-move,15-move,17-move,19-move,#trials,totalTimeS,#nodes,genTimeS
1221,1,2,2,1,5,9,0,0,0,0,0,0,0,0,0,500,0.251,173960,0.232
1221,1,2,2,1,5,9,0,0,0,0,0,0,0,0,0,500,0.248,173960,0.221
1221,1,2,2,1,5,9,0,0,0,0,0,0,0,0,0,500,0.264,173960,0.23
1221,1,2,2,1,5,9,0,0,0,0,0,0,0,0,0,500,0.257,173960,0.234
1221,1,2,2,1,5,9,0,0,0,0,0,0,0,0,0,500,0.254,173960,0.224
1221,1,2,2,1,5,9,0,0,0,0,0,0,0,0,0,500,0.252,173960,0.223
1221,1,2,2,1,5,9,0,0,0,0,0,0,0,0,0,500,0.258,173960,0.226
1221,1,2,2,1,5,9,0,0,0,0,0,0,0,0,0,500,0.255,173960,0.219
1221,1,2,2,1,5,9,0,0,0,0,0,0,0,0,0,500,0.24,173960,0.213
1221,1,2,2,1,5,9,0,0,0,0,0,0,0,0,0,500,0.252,173960,0.219
1221,1,2,2,1,5,9,0,0,0,0,0,0,0,0,0,10000,4.543,3754499,3.866
1221,1,2,2,1,5,9,0,0,0,2,0,0,0,0,0,10000,15.189,3453643,12.415
1221,1,2,2,1,5,9,0,0,0,0,0,0,0,0,0,10000,10.586,3490284,8.737
1221,1,2,2,1,5,9,0,0,0,0,0,0,0,0,0,500,0.296,173960,0.267
1221,1,2,2,1,5,9,0,0,0,0,0,0,0,0,0,500,0.298,173960,0.26
1221,1,2,2,1,5,9,0,0,0,0,0,0,0,0,0,500,0.283,173960,0.243
1221,1,2,2,1,5,9,0,0,0,0,0,0,0,0,0,500,0.291,173960,0.258
1221,1,2,2,1,5,9,0,0,0,0,0,0,0,0,0,500,0.303,173960,0.262
1221,1,2,2,1,5,9,0,0,0,0,0,0,0,0,0,500,0.291,173960,0.254
1221,1,2,2,1,5,9,0,0,0,0,0,0,0,0,0,500,0.291,173960,0.262
1221,1,2,2,1,5,9,0,0,0,0,0,0,0,0,0,500,0.294,173960,0.26
1221,1,2,2,1,5,9,0,0,0,0,0,0,0,0,0,500,0.286,173960,0.253
1221,1,2,2,1,5,9,0,0,0,0,0,0,0,0,0,500,0.296,173960,0.261
1221,1,2,2,1,5,9,0,0,0,0,0,0,0,0,0,500,0.303,173960,0.267
1221,1,2,2,1,5,9,0,0,0,0,0,0,0,0,0,500,0.295,173960,0.251
