Board,Solution
".......u.........B.Ru....u........R.","1. B f4 up   2. u b2 left   3. B f5 up   4. u a2 down   5. B f6 right"
".......B.u...R............uR.....u..","1. B b5 left   2. u d1 right   3. B a5 up   4. u e1 right   5. B a6 left"
"...R...B..R.....u......u...u........","1. B b5 left   2. u f3 down   3. B a5 up   4. u f2 down   5. B a6 left"
"..............u..B...Ru.........Ru..","1. B f4 up   2. u d1 right   3. B f5 up   4. u e1 right   5. B f6 right"
"...Ru..B.u.....u.....R..............","1. B b5 left   2. u e6 right   3. B a5 up   4. u f6 left   5. B a6 left"
".......B.R......u....u...R.......u..","1. B b5 left   2. u d1 right   3. B a5 up   4. u e1 right   5. B a6 left"
".u........B...u.R.....u........R....","1. B e5 right   2. u b6 left   3. B f5 up   4. u a6 right   5. B f6 right"
"...B....u.......u...u..R..........R.","1. B d6 right   2. u c5 up   3. B e6 right   4. u c6 left   5. B f6 right"
"...B..R......u......u...R........u..","1. B d6 right   2. u d1 right   3. B e6 right   4. u e1 right   5. B f6 right"
"u..B..............u.....R......R.u..","1. B d6 right   2. u a3 down   3. B e6 right   4. u a2 down   5. B f6 right"
"......u...B..R........uR..u.........","1. B e5 right   2. u a5 up   3. B f5 up   4. u a6 right   5. B f6 right"
".......B....R.....u..u......u...R...","1. B b5 left   2. u a3 down   3. B a5 up   4. u a2 down   5. B a6 left"
".......B.u........u.......u..R...R..","1. B b5 left   2. u a3 down   3. B a5 up   4. u a2 down   5. B a6 left"
"..BR.....u....R...........uu........","1. B c6 left   2. u c2 left   3. B b6 left   4. u b2 left   5. B a6 left"
".RR.u.......B....u.......u..........","1. B a4 up   2. u e6 right   3. B a5 up   4. u b2 left   5. B a6 left"
"..B.u....R.............uR...u.......","1. B c6 left   2. u e6 right   3. B b6 left   4. u f3 down   5. B a6 left"
"......u...B..u..........RuR.........","1. B e5 right   2. u a5 up   3. B f5 up   4. u b2 left   5. B f6 right"
"u.........B.R.....u......u.........R","1. B e5 right   2. u a3 down   3. B f5 up   4. u a2 down   5. B f6 right"
